match_id,ref_over25,ref_under25,pin_over25,pin_under25,pin_over25_american,pin_under25_american,pin_h,pin_d,pin_a,pin_h_american,pin_d_american,pin_a_american,pin_ah_line,pin_ahh,pin_aha,pin_ahh_american,pin_aha_american,pin_tt_home_line,pin_tt_home_over,pin_tt_home_under,pin_tt_home_over_american,pin_tt_home_under_american,pin_tt_away_line,pin_tt_away_over,pin_tt_away_under,pin_tt_away_over_american,pin_tt_away_under_american,pin_matchup_id
20260824_Fulham_Chelsea,1.8547,2.07,1.8547,2.07,-117.0,107.0,4.05,3.71,1.9524,305.0,271.0,-105.0,0.25,2.3,1.6993,130.0,-143.0,0.5,1.431,2.94,-232.0,194.0,2.5,3.91,1.2639,291.0,-379.0,1632003666.0
20260828_CrystalPalace_ManchesterCity,1.6897,2.25,1.6897,2.25,-145.0,125.0,5.12,4.29,1.641,412.0,329.0,-156.0,1.0,1.8197,2.1,-122.0,110.0,0.5,1.4902,2.69,-204.0,169.0,1.5,1.6369,2.31,-157.0,131.0,1633204546.0
20260829_Liverpool_NottinghamForest,1.5952,2.44,1.5952,2.44,-168.0,144.0,1.4975,4.82,6.13,-201.0,382.0,513.0,-1.25,2.06,1.8547,106.0,-117.0,2.5,2.58,1.5236,158.0,-191.0,0.5,1.565,2.48,-177.0,148.0,1633209171.0
20260829_Bournemouth_Everton,1.9091,1.9804,1.9091,1.9804,-110.0,-102.0,2.11,3.56,3.58,111.0,256.0,258.0,-0.25,1.8333,2.09,-120.0,109.0,1.5,2.06,1.7937,106.0,-126.0,1.5,2.94,1.3953,194.0,-253.0,1634425787.0
20260829_Coventry_Hull,1.8621,2.03,1.8621,2.03,-116.0,103.0,1.8772,3.48,4.62,-114.0,248.0,362.0,-0.5,1.8929,2.02,-112.0,102.0,2.5,3.72,1.277,272.0,-361.0,0.5,1.4566,2.8,-219.0,180.0,1634444737.0
20260829_Tottenham_Newcastle,1.6897,2.26,1.6897,2.26,-145.0,126.0,2.26,3.75,3.09,126.0,275.0,209.0,-0.5,2.26,1.7042,126.0,-142.0,2.5,4.12,1.2375,312.0,-421.0,1.5,2.44,1.578,144.0,-173.0,1633204547.0
20260830_Chelsea_Brighton,1.7519,2.16,1.7519,2.16,-133.0,116.0,2.0,3.9,3.61,-100.0,290.0,261.0,-0.5,2.01,1.9009,101.0,-111.0,2.5,3.68,1.2825,268.0,-354.0,1.5,2.84,1.4484,184.0,-223.0,1634440436.0
20260830_Leeds_Brentford,1.9259,1.9615,1.9259,1.9615,-108.0,-104.0,2.58,3.47,2.8,158.0,247.0,180.0,0.0,1.8772,2.03,-114.0,103.0,1.5,2.39,1.5988,139.0,-167.0,1.5,2.53,1.5405,153.0,-185.0,1634444752.0
20260830_Sunderland_Fulham,2.13,1.7752,2.13,1.7752,113.0,-129.0,2.63,3.28,2.87,163.0,228.0,187.0,0.0,1.8696,2.05,-115.0,105.0,1.5,2.63,1.5076,163.0,-197.0,1.5,2.77,1.4566,177.0,-219.0,1634440437.0
20260830_ManchesterUnited_Ipswich,1.6494,2.33,1.6494,2.33,-154.0,133.0,1.4348,4.96,7.14,-230.0,396.0,614.0,-1.0,1.6897,2.28,-145.0,128.0,2.5,2.58,1.5236,158.0,-191.0,0.5,1.6579,2.25,-152.0,125.0,1634425802.0
20260831_AstonVilla_Arsenal,1.8403,2.04,1.8403,2.04,-119.0,104.0,6.21,4.35,1.5319,521.0,335.0,-188.0,0.75,2.28,1.6711,128.0,-149.0,0.5,1.6579,2.25,-152.0,125.0,1.5,1.6211,2.32,-161.0,132.0,1634440427.0
20260904_Ipswich_Liverpool,1.565,2.44,1.565,2.44,-177.0,144.0,4.79,4.55,1.5952,379.0,355.0,-168.0,1.0,1.8547,2.0,-117.0,100.0,0.5,1.4348,2.78,-230.0,178.0,1.5,1.5435,2.44,-184.0,144.0,1634444777.0
20260905_Newcastle_Bournemouth,1.5952,2.36,1.5952,2.36,-168.0,136.0,2.34,3.66,2.87,134.0,266.0,187.0,-0.25,2.05,1.8197,105.0,-122.0,2.5,3.96,1.2326,296.0,-430.0,1.5,2.2,1.6623,120.0,-151.0,1634530182.0
20260905_Brentford_Sunderland,1.9346,1.9009,1.9346,1.9009,-107.0,-111.0,1.7194,3.72,4.91,-139.0,272.0,391.0,-0.5,1.7143,2.16,-140.0,116.0,2.5,3.62,1.2688,262.0,-372.0,0.5,1.5682,2.38,-176.0,138.0,1634530080.0
20260905_Brighton_Leeds,1.9174,1.9174,1.9174,1.9174,-109.0,-109.0,1.8403,3.67,4.24,-119.0,267.0,324.0,-0.5,1.8475,2.01,-118.0,101.0,2.5,3.75,1.2532,275.0,-395.0,0.5,1.4854,2.61,-206.0,161.0,1634530079.0
20260905_Fulham_CrystalPalace,2.0,1.8403,2.0,1.8403,-100.0,-119.0,2.43,3.3,2.98,143.0,230.0,198.0,-0.25,2.09,1.7812,109.0,-128.0,1.5,2.37,1.5747,137.0,-174.0,1.5,2.75,1.4425,175.0,-226.0,1634530286.0
20260905_ManchesterCity_Coventry,1.3205,3.24,1.3205,3.24,-312.0,224.0,1.2037,7.32,10.59,-491.0,632.0,959.0,-1.75,1.7246,2.12,-138.0,112.0,2.5,1.7143,2.09,-140.0,109.0,0.5,1.6993,2.11,-143.0,111.0,1634530078.0
20260905_NottinghamForest_Tottenham,2.08,1.7692,2.08,1.7692,108.0,-130.0,2.63,3.42,2.65,163.0,242.0,165.0,-0.25,2.27,1.6579,127.0,-152.0,1.5,2.64,1.4762,164.0,-210.0,1.5,2.69,1.4587,169.0,-218.0,1634530181.0
20260905_Hull_AstonVilla,1.8197,2.03,1.8197,2.03,-122.0,103.0,3.95,3.69,1.8929,295.0,269.0,-112.0,0.75,1.7143,2.16,-140.0,116.0,0.5,1.4237,2.82,-236.0,182.0,2.5,3.77,1.2519,277.0,-397.0,1634530180.0
20260906_Everton_ManchesterUnited,1.8696,1.9709,1.8696,1.9709,-115.0,-103.0,3.12,3.34,2.33,212.0,234.0,133.0,0.25,1.8475,2.01,-118.0,101.0,1.5,2.66,1.4695,166.0,-213.0,1.5,2.18,1.6711,118.0,-149.0,1634624930.0
20260906_Arsenal_Chelsea,1.8696,1.9709,1.8696,1.9709,-115.0,-103.0,1.6667,3.59,5.65,-150.0,259.0,465.0,-1.0,2.19,1.6993,119.0,-143.0,1.5,1.7299,2.09,-137.0,109.0,0.5,1.5495,2.38,-182.0,138.0,1634624929.0
