match_id,date,home_team,away_team
20260904_Genoa_Como,2026-09-04,Genoa,Como
20260905_Fiorentina_Torino,2026-09-05,Fiorentina,Torino
20260905_Inter_Napoli,2026-09-05,Inter,Napoli
20260905_Roma_Atalanta,2026-09-05,Roma,Atalanta
20260906_Frosinone_Venezia,2026-09-06,Frosinone,Venezia
20260906_Parma_Monza,2026-09-06,Parma,Monza
20260906_Bologna_Sassuolo,2026-09-06,Bologna,Sassuolo
20260906_Juventus_ACMilan,2026-09-06,Juventus,AC Milan
20260907_Cagliari_Lecce,2026-09-07,Cagliari,Lecce
20260907_Udinese_Lazio,2026-09-07,Udinese,Lazio
20260911_Venezia_Fiorentina,2026-09-11,Venezia,Fiorentina
20260912_Genoa_Frosinone,2026-09-12,Genoa,Frosinone
20260912_Sassuolo_Juventus,2026-09-12,Sassuolo,Juventus
20260912_Atalanta_Cagliari,2026-09-12,Atalanta,Cagliari
20260913_Torino_Roma,2026-09-13,Torino,Roma
20260913_Como_Parma,2026-09-13,Como,Parma
20260913_Lecce_Monza,2026-09-13,Lecce,Monza
20260913_Napoli_Bologna,2026-09-13,Napoli,Bologna
20260913_Lazio_ACMilan,2026-09-13,Lazio,AC Milan
20260914_Inter_Udinese,2026-09-14,Inter,Udinese
20260918_Monza_Sassuolo,2026-09-18,Monza,Sassuolo
20260919_Bologna_Torino,2026-09-19,Bologna,Torino
20260919_Udinese_Cagliari,2026-09-19,Udinese,Cagliari
20260919_Roma_Inter,2026-09-19,Roma,Inter
20260919_Venezia_Lazio,2026-09-19,Venezia,Lazio
20260920_Fiorentina_Napoli,2026-09-20,Fiorentina,Napoli
20260920_Frosinone_Como,2026-09-20,Frosinone,Como
20260920_Parma_Genoa,2026-09-20,Parma,Genoa
20260920_Juventus_Atalanta,2026-09-20,Juventus,Atalanta
20260920_ACMilan_Lecce,2026-09-20,AC Milan,Lecce
